[2026-06-05 19:32:27,380][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdb143a8b20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:32:35,427][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdb143a9b70>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:36:36,585][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178b400>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:36,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178ba30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:37,587][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178b640>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:37,659][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178a200>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:39,638][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178bac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:39,663][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdad178be80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:43,652][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe7140a90f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:43,668][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe7140a9090>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
