row_index,host_time_s,elapsed_s,frame_number,vicon_time_s,x_m,y_m,z_m,vx_mps,valid,occluded
540,1784097313.108790874,1.801467657,20648898,68829.660000000,-0.421893395,0.033829773,1.143474793,-1.460148914,1,0
541,1784097313.112051964,1.804728746,20648899,68829.663333333,-0.426497056,0.034592308,1.142128185,-1.381098191,1,0
542,1784097313.115089655,1.807766438,20648900,68829.666666667,-0.431146406,0.035255049,1.140721149,-1.394805053,1,0
543,1784097313.118478775,1.811155558,20648901,68829.670000000,-0.435845474,0.035672009,1.139481175,-1.409720323,1,0
544,1784097313.121870518,1.814547300,20648902,68829.673333333,-0.440645823,0.035969491,1.138133824,-1.440104731,1,0
545,1784097313.125550747,1.818227530,20648903,68829.676666667,-0.445553345,0.036197099,1.136712625,-1.472256611,1,0
546,1784097313.128492594,1.821169376,20648904,68829.680000000,-0.450331026,0.036548343,1.135021991,-1.433304277,1,0
547,1784097313.131706715,1.824383497,20648905,68829.683333333,-0.455090520,0.036969273,1.133221212,-1.427848167,1,0
548,1784097313.135017395,1.827694178,20648906,68829.686666667,-0.460486750,0.037421925,1.131351666,-1.618869110,1,0
549,1784097313.138781071,1.831457853,20648907,68829.690000000,-0.465423291,0.037657753,1.129366782,-1.480962337,1,0
550,1784097313.142450333,1.835127115,20648908,68829.693333333,-0.470414368,0.037940706,1.127091469,-1.497322991,1,0
551,1784097313.145482779,1.838159561,20648909,68829.696666667,-0.475274767,0.038354592,1.124522861,-1.458119824,1,0
552,1784097313.148433447,1.841110229,20648910,68829.700000000,-0.479823201,0.038818191,1.121823436,-1.364530213,1,0
553,1784097313.151679516,1.844356298,20648911,68829.703333333,-0.484377788,0.039301163,1.119009609,-1.366376062,1,0
554,1784097313.155155420,1.847832203,20648912,68829.706666667,-0.489064082,0.039715593,1.116269068,-1.405888214,1,0
555,1784097313.158963203,1.851639986,20648913,68829.710000000,-0.493801642,0.040110770,1.113619197,-1.421267817,1,0
556,1784097313.162015915,1.854692698,20648914,68829.713333333,-0.498331816,0.040649251,1.110851242,-1.359052424,1,0
557,1784097313.165107727,1.857784510,20648915,68829.716666667,-0.502816681,0.041223955,1.107988618,-1.345459268,1,0
558,1784097313.168407440,1.861084223,20648916,68829.720000000,-0.507158605,0.041705251,1.105040224,-1.302577313,1,0
559,1784097313.172018290,1.864695072,20648917,68829.723333333,-0.511546918,0.042078419,1.101955514,-1.316493889,1,0
560,1784097313.175561905,1.868238688,20648918,68829.726666667,-0.516073644,0.042252765,1.098791151,-1.358017894,1,0
561,1784097313.178667307,1.871344090,20648919,68829.730000000,-0.520581744,0.042455370,1.095401321,-1.352429858,1,0
562,1784097313.181832790,1.874509573,20648920,68829.733333333,-0.525054315,0.042928847,1.092215035,-1.341771209,1,0
563,1784097313.185155392,1.877832174,20648921,68829.736666667,-0.529637139,0.043433658,1.088840727,-1.374847269,1,0
564,1784097313.188730001,1.881406784,20648922,68829.740000000,-0.534235512,0.043980714,1.085035839,-1.379511933,1,0
565,1784097313.192273378,1.884950161,20648923,68829.743333333,-0.538930245,0.044620969,1.081034783,-1.408419881,1,0
566,1784097313.195414543,1.888091326,20648924,68829.746666667,-0.544075885,0.045405664,1.077038239,-1.543691990,1,0
567,1784097313.198541641,1.891218424,20648925,68829.750000000,-0.548265368,0.046230640,1.072822573,-1.256844879,1,0
568,1784097313.201859474,1.894536257,20648926,68829.753333333,-0.552525717,0.046657642,1.068928878,-1.278104837,1,0
569,1784097313.205590725,1.898267508,20648927,68829.756666667,-0.556899421,0.046945143,1.064891816,-1.312111045,1,0
570,1784097313.208815813,1.901492596,20648928,68829.760000000,-0.561537680,0.047154307,1.060846784,-1.391477945,1,0
571,1784097313.212084293,1.904761076,20648929,68829.763333333,-0.566315624,0.047453138,1.056557475,-1.433383040,1,0
572,1784097313.215258837,1.907935619,20648930,68829.766666667,-0.571061661,0.047890381,1.052057565,-1.423811037,1,0
573,1784097313.218467951,1.911144733,20648931,68829.770000000,-0.576131113,0.048147417,1.047586586,-1.520835544,1,0
574,1784097313.221899033,1.914575815,20648932,68829.773333333,-0.580719151,0.048569807,1.042870125,-1.376411635,1,0
575,1784097313.225544691,1.918221474,20648933,68829.776666667,-0.585348249,0.048885911,1.037937939,-1.388729424,1,0
576,1784097313.228659630,1.921336412,20648934,68829.780000000,-0.589970327,0.049314947,1.032702862,-1.386623189,1,0
577,1784097313.231966019,1.924642801,20648935,68829.783333333,-0.594456879,0.049777389,1.027338806,-1.345965583,1,0
578,1784097313.235161304,1.927838087,20648936,68829.786666667,-0.598831337,0.050265243,1.021904672,-1.312337532,1,0
579,1784097313.238785982,1.931462765,20648937,68829.790000000,-0.603305264,0.050642812,1.016408354,-1.342177978,1,0
580,1784097313.242269993,1.934946775,20648938,68829.793333333,-0.607797059,0.051040681,1.011037095,-1.347538557,1,0
581,1784097313.245558739,1.938235521,20648939,68829.796666667,-0.612217285,0.051499768,1.005631460,-1.326067928,1,0
582,1784097313.248641014,1.941317797,20648940,68829.800000000,-0.616622124,0.051998891,1.000172947,-1.321451744,1,0
583,1784097313.251935244,1.944612026,20648941,68829.803333333,-0.620891762,0.052544373,0.994565711,-1.280891165,1,0
584,1784097313.255388498,1.948065281,20648942,68829.806666667,-0.625102328,0.052985475,0.988830903,-1.263170028,1,0
585,1784097313.258827209,1.951503992,20648943,68829.810000000,-0.629529535,0.053266268,0.982909393,-1.328161990,1,0
586,1784097313.262149096,1.954825878,20648944,68829.813333333,-0.634003260,0.053519520,0.976985646,-1.342117525,1,0
587,1784097313.265387535,1.958064318,20648945,68829.816666667,-0.638449572,0.053920480,0.971128084,-1.333893532,1,0
588,1784097313.268540859,1.961217642,20648946,68829.820000000,-0.642821878,0.054389647,0.965188974,-1.311691893,1,0
589,1784097313.271984816,1.964661598,20648947,68829.823333333,-0.647273670,0.054868541,0.958883802,-1.335537549,1,0
590,1784097313.275499821,1.968176603,20648948,68829.826666667,-0.651626734,0.055443121,0.952106373,-1.305919068,1,0
591,1784097313.279006958,1.971683741,20648949,68829.830000000,-0.656041089,0.056095229,0.945422582,-1.324306497,1,0
592,1784097313.281905174,1.974581957,20648950,68829.833333333,-0.660338553,0.056842465,0.938805936,-1.289239354,1,0
593,1784097313.285171986,1.977848768,20648951,68829.836666667,-0.664728259,0.057430264,0.932135596,-1.316911790,1,0
594,1784097313.288613081,1.981289864,20648952,68829.840000000,-0.669097519,0.057828064,0.925516845,-1.310777878,1,0
595,1784097313.292092323,1.984769106,20648953,68829.843333333,-0.673645398,0.058069190,0.918848378,-1.364363867,1,0
596,1784097313.295436859,1.988113642,20648954,68829.846666667,-0.678229419,0.058331301,0.911990089,-1.375206357,1,0
597,1784097313.298655272,1.991332054,20648955,68829.850000000,-0.682811931,0.058716155,0.904861027,-1.374753372,1,0
598,1784097313.301849365,1.994526148,20648956,68829.853333333,-0.687435589,0.059130293,0.897671858,-1.387097653,1,0
599,1784097313.305329561,1.998006344,20648957,68829.856666667,-0.691929134,0.059549317,0.890407059,-1.348063478,1,0
