Connecting to 192.168.10.1:801 ...
Captured G1Pelvis template with 5 markers: G1pelvis1 G1pelvis2 G1pelvis3 G1pelvis4 G1pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1389, 0.7475] x_axis_raw=[0.0331, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0331, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.7124, -0.2175, 0.8693] anchor_initial_world_m=[-0.7124, -0.2175, 0.8693] raw
Publishing on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=130607433 hz=228.3 base_valid=1 base_markers=5 base_rms_mm=0.08 base_measured_m=[-0.7127, -0.2170, 0.8693] base_world_m=[-0.7127, -0.2170, 0.8693] base_edge_error_m=-0.3127 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607464 hz=229.9 base_valid=1 base_markers=5 base_rms_mm=0.04 base_measured_m=[-0.7126, -0.2172, 0.8693] base_world_m=[-0.7126, -0.2172, 0.8693] base_edge_error_m=-0.3126 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607494 hz=231.3 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.7124, -0.2175, 0.8693] base_world_m=[-0.7124, -0.2175, 0.8693] base_edge_error_m=-0.3124 base_quat_xyzw=[0.0000, 0.0000, -0.0000, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607524 hz=232.7 base_valid=1 base_markers=5 base_rms_mm=0.08 base_measured_m=[-0.7123, -0.2177, 0.8693] base_world_m=[-0.7123, -0.2177, 0.8693] base_edge_error_m=-0.3123 base_quat_xyzw=[0.0000, 0.0000, 0.0005, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607555 hz=234.1 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.7122, -0.2178, 0.8693] base_world_m=[-0.7122, -0.2178, 0.8693] base_edge_error_m=-0.3122 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607585 hz=235.4 base_valid=1 base_markers=5 base_rms_mm=0.18 base_measured_m=[-0.7121, -0.2181, 0.8693] base_world_m=[-0.7121, -0.2181, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, 0.0005, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607653 hz=231.0 base_valid=1 base_markers=5 base_rms_mm=0.20 base_measured_m=[-0.7121, -0.2182, 0.8693] base_world_m=[-0.7121, -0.2182, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, 0.0005, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607685 hz=232.5 base_valid=1 base_markers=5 base_rms_mm=0.22 base_measured_m=[-0.7121, -0.2183, 0.8693] base_world_m=[-0.7121, -0.2183, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, 0.0006, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607715 hz=233.7 base_valid=1 base_markers=5 base_rms_mm=0.22 base_measured_m=[-0.7123, -0.2182, 0.8693] base_world_m=[-0.7123, -0.2182, 0.8693] base_edge_error_m=-0.3123 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607746 hz=235.0 base_valid=1 base_markers=5 base_rms_mm=0.19 base_measured_m=[-0.7124, -0.2182, 0.8694] base_world_m=[-0.7124, -0.2182, 0.8694] base_edge_error_m=-0.3124 base_quat_xyzw=[0.0000, 0.0000, 0.0006, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
