host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782474745.372125387,34.277372599,59,vicon_state_data,ball,1,0,3.234496654,0.285362197,1.016266576,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822204491,-0.459822792,0.820477383,0.000000000,0.000000000,-0.036706878,0.999326075
1782474745.372197390,34.277444601,60,vicon_state_data,ball,1,0,3.234369055,0.281954523,1.015604073,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822206507,-0.459827690,0.820465138,0.000000000,0.000000000,-0.036733824,0.999325085
1782474745.372271061,34.277518272,61,vicon_state_data,ball,1,0,3.234312019,0.278626261,1.014802295,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822209669,-0.459844633,0.820471131,0.000000000,0.000000000,-0.036804962,0.999322468
1782474745.372343302,34.277590513,62,vicon_state_data,ball,1,0,3.234228833,0.275169125,1.014099403,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822201527,-0.459803301,0.820478375,0.000000000,0.000000000,-0.036814026,0.999322134
1782474745.372412920,34.277660131,63,vicon_state_data,ball,1,0,3.234076762,0.271833114,1.013439967,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822206224,-0.459786705,0.820463760,0.000000000,0.000000000,-0.036841806,0.999321110
1782474745.432237387,34.337484598,64,vicon_state_data,ball,1,0,3.231832081,0.237782603,1.007603461,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822191032,-0.459617437,0.820523113,0.000000000,0.000000000,-0.036338065,0.999339554
1782474745.432435274,34.337682486,65,vicon_state_data,ball,1,0,3.230601460,0.232833663,1.008548053,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822206694,-0.459684425,0.820460788,0.000000000,0.000000000,-0.036766002,0.999323902
1782474745.432524681,34.337771893,66,vicon_state_data,ball,1,0,3.230224836,0.229183438,1.008118561,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822197228,-0.459662768,0.820467632,0.000000000,0.000000000,-0.036824546,0.999321746
1782474745.432603121,34.337850332,67,vicon_state_data,ball,1,0,3.230767859,0.227398434,1.006023057,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822196096,-0.459632306,0.820459883,0.000000000,0.000000000,-0.036804953,0.999322468
1782474745.432678699,34.337925911,68,vicon_state_data,ball,1,0,3.230345074,0.223911823,1.005584209,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822194685,-0.459648955,0.820468143,0.000000000,0.000000000,-0.036871848,0.999320002
1782474745.432767153,34.338014364,69,vicon_state_data,ball,1,0,3.229867403,0.220559571,1.005102525,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822201873,-0.459633918,0.820459452,0.000000000,0.000000000,-0.036883825,0.999319560
1782474745.432840586,34.338087797,70,vicon_state_data,ball,1,0,3.229319599,0.217134808,1.004712153,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822194748,-0.459561688,0.820526230,0.000000000,0.000000000,-0.036464075,0.999334964
1782474745.432912588,34.338159800,71,vicon_state_data,ball,1,0,3.228753359,0.213754539,1.004304728,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822190490,-0.459611022,0.820465285,0.000000000,0.000000000,-0.036807079,0.999322390
1782474745.432983875,34.338231087,72,vicon_state_data,ball,1,0,3.228205880,0.210539217,1.003812661,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822199256,-0.459614732,0.820465874,0.000000000,0.000000000,-0.036775562,0.999323550
1782474745.433057308,34.338304520,73,vicon_state_data,ball,1,0,3.227572660,0.207179049,1.003439181,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822199631,-0.459616749,0.820464725,0.000000000,0.000000000,-0.036905877,0.999318746
1782474745.493511915,34.398759127,74,vicon_state_data,ball,1,0,3.218901437,0.173089849,0.998842343,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822161040,-0.459405546,0.820472333,0.000000000,0.000000000,-0.036788079,0.999323090
1782474745.493715763,34.398962975,75,vicon_state_data,ball,1,0,3.217991384,0.170150008,0.998573232,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822161547,-0.459404644,0.820534321,0.000000000,0.000000000,-0.036362446,0.999338668
1782474745.493822813,34.399070024,76,vicon_state_data,ball,1,0,3.217038368,0.167298478,0.998400318,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822158763,-0.459459842,0.820513236,0.000000000,0.000000000,-0.036044544,0.999350184
1782474745.493903875,34.399151087,77,vicon_state_data,ball,1,0,3.216059736,0.164428922,0.998237155,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822157461,-0.459422986,0.820509421,0.000000000,0.000000000,-0.036078748,0.999348950
1782474745.493993759,34.399240971,78,vicon_state_data,ball,1,0,3.213158763,0.156034771,0.998003610,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822150028,-0.459345361,0.820525223,0.000000000,0.000000000,-0.036369607,0.999338407
1782474745.494069338,34.399316549,79,vicon_state_data,ball,1,0,3.212057656,0.153151981,0.998059691,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822153056,-0.459359364,0.820536144,0.000000000,0.000000000,-0.036392820,0.999337562
1782474745.494143724,34.399390936,80,vicon_state_data,ball,1,0,3.210989893,0.150413844,0.998084300,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822159753,-0.459382780,0.820551797,0.000000000,0.000000000,-0.036380118,0.999338024
1782474745.557616234,34.462863445,81,vicon_state_data,ball,1,0,3.200572439,0.126381245,0.999425095,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822169671,-0.459349115,0.820550913,0.000000000,0.000000000,-0.036371459,0.999338340
1782474745.561028242,34.466275454,82,vicon_state_data,ball,1,0,3.199310050,0.123866071,0.999650033,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822180962,-0.459443348,0.820511044,0.000000000,0.000000000,-0.036818676,0.999321963
1782474745.564334869,34.469582081,83,vicon_state_data,ball,1,0,3.197937034,0.121301577,0.999884806,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822167748,-0.459339997,0.820569958,0.000000000,0.000000000,-0.036237548,0.999343204
1782474745.567627430,34.472874641,84,vicon_state_data,ball,1,0,3.196687494,0.118854217,1.000135404,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822162982,-0.459341861,0.820554049,0.000000000,0.000000000,-0.036343353,0.999339362
1782474745.570928574,34.476175785,85,vicon_state_data,ball,1,0,3.195294488,0.116350247,1.000424133,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822173207,-0.459393404,0.820486437,0.000000000,0.000000000,-0.036776876,0.999323502
1782474745.574302673,34.479549885,86,vicon_state_data,ball,1,0,3.193926043,0.113911922,1.000812435,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822166480,-0.459319315,0.820564628,0.000000000,0.000000000,-0.036421647,0.999336512
1782474745.577609539,34.482856750,87,vicon_state_data,ball,1,0,3.191120824,0.109218447,1.001492228,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822167499,-0.459417365,0.820477561,0.000000000,0.000000000,-0.036564055,0.999331311
1782474745.580933332,34.486180544,88,vicon_state_data,ball,1,0,3.189670548,0.106806235,1.001968633,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822171892,-0.459346066,0.820503767,0.000000000,0.000000000,-0.036820672,0.999321889
1782474745.584210634,34.489457846,89,vicon_state_data,ball,1,0,3.188193011,0.104566164,1.002343196,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822153255,-0.459226674,0.820559438,0.000000000,0.000000000,-0.036237177,0.999343218
1782474745.587502003,34.492749214,90,vicon_state_data,ball,1,0,3.172444610,0.083567580,1.008800316,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822149399,-0.459218905,0.820466906,0.000000000,0.000000000,-0.036980401,0.999315991
1782474745.590723038,34.495970249,91,vicon_state_data,ball,1,0,3.170750009,0.081705508,1.009632028,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822137550,-0.459180390,0.820403755,0.000000000,0.000000000,-0.037214865,0.999307287
1782474745.593884706,34.499131918,92,vicon_state_data,ball,1,0,3.168984905,0.079790884,1.010554828,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822159342,-0.459266642,0.820459227,0.000000000,0.000000000,-0.036990726,0.999315609
1782474745.596945047,34.502192259,93,vicon_state_data,ball,1,0,3.167309679,0.077966511,1.011416461,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822169542,-0.459256873,0.820449407,0.000000000,0.000000000,-0.037073784,0.999312531
1782474745.599850178,34.505097389,94,vicon_state_data,ball,1,0,3.165536023,0.076076462,1.012396445,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822130057,-0.459145683,0.820507671,0.000000000,0.000000000,-0.036395795,0.999337454
1782474745.602634668,34.507881880,95,vicon_state_data,ball,1,0,3.163885143,0.074340737,1.013288460,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822153303,-0.459223137,0.820461798,0.000000000,0.000000000,-0.036858347,0.999320500
1782474745.605398417,34.510645628,96,vicon_state_data,ball,1,0,3.162045986,0.072543993,1.014304535,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822152546,-0.459215747,0.820442173,0.000000000,0.000000000,-0.036826172,0.999321686
1782474745.608068466,34.513315678,97,vicon_state_data,ball,1,0,3.160236347,0.070604621,1.015344975,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822139084,-0.459132422,0.820477040,0.000000000,0.000000000,-0.036236446,0.999343244
1782474745.610690832,34.515938044,98,vicon_state_data,ball,1,0,3.158482491,0.068900035,1.016319275,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822150582,-0.459241587,0.820411642,0.000000000,0.000000000,-0.036850728,0.999320781
1782474745.613282919,34.518530130,99,vicon_state_data,ball,1,0,3.156601157,0.067104920,1.017420285,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822169978,-0.459238383,0.820420742,0.000000000,0.000000000,-0.036818885,0.999321955
1782474745.615813732,34.521060944,100,vicon_state_data,ball,1,0,3.154805707,0.065426588,1.018459495,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822155598,-0.459203832,0.820417601,0.000000000,0.000000000,-0.036769229,0.999323783
1782474745.618369579,34.523616791,101,vicon_state_data,ball,1,0,3.152970797,0.063839612,1.019463632,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822134691,-0.459078226,0.820449358,0.000000000,0.000000000,-0.036232093,0.999343402
