seg,source,n,duration_s,start_t,end_t,start_x,end_x,start_y,end_y,start_z,end_z,min_z,max_z,max_dt_ms,max_step_cm,max_speed_mps,median_speed_mps,crosses_x0,incoming_x_decreasing,near_table,first_source_row,last_source_row
23,session_008_first30_incoming.csv,329,1.1952409749999902,422.507537603,423.702778578,2.684111795,-0.717246794,0.010286914,0.781469762,1.209542303,0.529981167,0.529981167,1.415170467,80.91020500000923,15.575130593048103,119.340240526098,3.3949601514384073,True,True,True,10986,11314
24,session_008_first30_incoming.csv,313,1.2106633180000017,438.333575726,439.544239044,2.967180532,-0.77512544,0.002784579,0.907044331,1.17321542,0.845468265,0.764648742,1.522775746,88.42372899999873,19.4391984650775,146.72289111648362,3.5717453343030616,True,True,True,11433,11745
25,session_008_first30_incoming.csv,279,1.089168309999991,453.567243576,454.656411886,2.732802534,-0.654013723,-0.07588023,-0.003486909,1.159221187,0.53868793,0.53868793,1.290768722,86.79842999998755,17.703628277996593,124.42091669002716,3.441343541968629,True,True,True,11913,12191
26,session_008_first30_incoming.csv,228,0.982469081999966,469.307986259,470.290455341,2.612119536,-0.778266338,0.016432402,-0.322755154,1.182857025,1.259581216,0.769520199,1.497743247,86.85469599998896,18.636813242272247,125.81432626685803,3.586071561730096,True,True,True,12406,12633
27,session_008_first30_incoming.csv,368,1.423814058000005,484.76817894,486.191992998,2.69259984,-0.537312494,0.000599915,0.282199717,1.198100396,0.550334492,0.550334492,1.595895477,86.58957500000497,16.052058019095345,104.59410971993188,2.967368737146405,True,True,True,12905,13272
28,session_008_first30_incoming.csv,314,1.2355620860000158,499.24246645,500.478028536,2.648244915,-0.784049404,0.040516393,0.288406926,1.234857165,0.757729662,0.757729662,1.49206884,88.66381699999693,17.15443120718263,108.62157285937035,3.0136285863783225,True,True,True,13593,13906
29,session_009.csv,235,1.1578607560000016,27.000775099,28.158635855,2.663430984,-0.725472667,0.004635361,0.180451795,1.164950192,0.541118807,0.541118807,1.314528242,86.13038000000017,17.670536562989593,2126.925138344505,4.880389090183385,True,True,True,92,326
30,session_009.csv,279,1.2086911200000046,59.90713501,61.11582613,2.664778414,-0.419595541,0.034454143,0.088411271,1.227912044,0.632767631,0.632767631,1.443425657,85.35647400000101,20.760937130111667,494.93072678072826,4.193752641022121,True,True,True,917,1195
31,session_009.csv,269,1.249544143999998,75.986855745,77.236399889,2.578231945,-0.700476698,-0.112907349,0.251945683,1.272649903,0.713327771,0.713327771,1.462112017,95.1333050000045,19.709350590979753,531.6204733522645,4.429076325072147,True,True,True,1314,1582
32,session_009.csv,286,1.2961285119999957,94.578241348,95.87436986,2.698388638,-0.687203663,-0.011066997,-0.38169899,1.222387741,0.695935936,0.695935936,1.461223221,87.60762199999306,21.071759761232084,421.1446178911975,4.373234058085388,True,True,True,1729,2014
33,session_009.csv,258,1.105995655000001,124.767942429,125.873938084,2.690583545,0.233082539,-0.040183451,0.307445038,1.255365545,0.968994742,0.767105969,1.449071084,83.85467499999777,20.364108249225467,313.79949099679993,3.7046076177854474,False,True,True,2923,3180
34,session_009.csv,278,1.2183992860000217,138.923647642,140.142046928,2.613205346,-0.732183009,0.041377938,0.450420286,1.247043201,1.165224896,0.766319241,1.570335528,87.02898000001369,20.515227753968187,251.7578652794682,4.3391390417180595,True,True,True,3572,3849
35,session_009.csv,313,1.3947021959999972,156.828283072,158.222985268,2.747407774,-0.749286662,-0.004585633,0.695757122,1.203948968,0.673639816,0.673639816,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.188756812480424,True,True,True,4155,4467
36,session_009.csv,313,1.3947021959999972,156.828283072,158.222985268,2.747407774,-0.749286662,-0.004585633,0.695757122,1.203948968,0.673639816,0.673639816,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.188756812480424,True,True,True,4155,4467
37,session_009.csv,312,1.3923413750000009,156.828283072,158.220624447,2.747407774,-0.744279757,-0.004585633,0.694112431,1.203948968,0.68537329,0.68537329,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.1886126031164155,True,True,True,4155,4466
38,session_009.csv,313,1.3947021959999972,156.828283072,158.222985268,2.747407774,-0.749286662,-0.004585633,0.695757122,1.203948968,0.673639816,0.673639816,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.188756812480424,True,True,True,4155,4467
39,session_009.csv,312,1.3923413750000009,156.828283072,158.220624447,2.747407774,-0.744279757,-0.004585633,0.694112431,1.203948968,0.68537329,0.68537329,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.1886126031164155,True,True,True,4155,4466
40,session_009.csv,310,1.3875768179999852,156.828283072,158.21585989,2.747407774,-0.73408444,-0.004585633,0.690875677,1.203948968,0.707938853,0.707938853,1.596105561,85.08968399999617,18.561189855832982,308.1999826713778,4.1799008167457075,True,True,True,4155,4464
