source_bvh,output_npz,frames,source_fps,output_fps,ground_shift_z,skipped_existing
/home/sijie/Downloads/bvh1h/MB066_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB066_lyn_lyn__unitree_g1.npz,718,100.0,30.0,-0.09258592128753662,False
/home/sijie/Downloads/bvh1h/MB067_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB067_lyn_lyn__unitree_g1.npz,648,100.0,30.0,-0.09255562722682953,False
/home/sijie/Downloads/bvh1h/MB068_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB068_lyn_lyn__unitree_g1.npz,643,100.0,30.0,-0.08818387985229492,False
/home/sijie/Downloads/bvh1h/MB069_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB069_lyn_lyn__unitree_g1.npz,652,100.0,30.0,-0.08713327348232269,False
/home/sijie/Downloads/bvh1h/MB070_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB070_lyn_lyn__unitree_g1.npz,671,100.0,30.0,-0.08630987256765366,False
/home/sijie/Downloads/bvh1h/MB071_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB071_lyn_lyn__unitree_g1.npz,523,100.0,30.0,-0.09166491031646729,False
/home/sijie/Downloads/bvh1h/MB072_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB072_lyn_lyn__unitree_g1.npz,520,100.0,30.0,-0.09211108833551407,False
/home/sijie/Downloads/bvh1h/MB073_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB073_lyn_lyn__unitree_g1.npz,536,100.0,30.0,-0.09157730638980865,False
/home/sijie/Downloads/bvh1h/MB074_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB074_lyn_lyn__unitree_g1.npz,502,100.0,30.0,-0.08855258673429489,False
/home/sijie/Downloads/bvh1h/MB075_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB075_lyn_lyn__unitree_g1.npz,499,100.0,30.0,-0.09148983657360077,False
/home/sijie/Downloads/bvh1h/MB076_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB076_lyn_lyn__unitree_g1.npz,709,100.0,30.0,-0.0848870500922203,False
/home/sijie/Downloads/bvh1h/MB077_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB077_lyn_lyn__unitree_g1.npz,893,100.0,30.0,-0.09305280447006226,False
/home/sijie/Downloads/bvh1h/MB078_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB078_lyn_lyn__unitree_g1.npz,992,100.0,30.0,-0.0865984559059143,False
/home/sijie/Downloads/bvh1h/MB079_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB079_lyn_lyn__unitree_g1.npz,880,100.0,30.0,-0.07284769415855408,False
/home/sijie/Downloads/bvh1h/MB080_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB080_lyn_lyn__unitree_g1.npz,582,100.0,30.0,-0.09035393595695496,False
/home/sijie/Downloads/bvh1h/MB081_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB081_lyn_lyn__unitree_g1.npz,609,100.0,30.0,-0.09286831319332123,False
/home/sijie/Downloads/bvh1h/MB082_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB082_lyn_lyn__unitree_g1.npz,555,100.0,30.0,-0.09161205589771271,False
